time,open,high,low,close,Volume
1562853600,7.46,7.47,7.41,7.46,4607204
1562857200,7.47,7.47,7.47,7.47,2156675
1562911200,7.47,7.47,7.47,7.47,133697
1562914800,7.46,7.58,7.45,7.52,14525618
1562918400,7.53,7.55,7.46,7.46,7081335
1562922000,7.46,7.48,7.43,7.45,4159953
1562925600,7.42,7.42,7.42,7.42,643896
1562929200,7.41,7.43,7.31,7.34,7202474
1562932800,7.33,7.34,7.2,7.25,8346946
1562936400,7.25,7.3,7.21,7.29,4511536
1562940000,7.29,7.35,7.27,7.29,5398855
1562943600,7.29,7.29,7.29,7.29,1752577
1563256800,7.4,7.4,7.4,7.4,132187
1563260400,7.4,7.42,7.36,7.38,9331358
1563264000,7.38,7.39,7.31,7.33,6473310
1563267600,7.34,7.34,7.28,7.33,3634135
1563271200,7.32,7.32,7.28,7.28,138551
1563274800,7.29,7.36,7.26,7.28,8771351
1563278400,7.28,7.33,7.25,7.28,5379392
1563282000,7.27,7.3,7.23,7.26,3384315
1563285600,7.26,7.27,7.17,7.19,7705643
1563289200,7.15,7.15,7.15,7.15,3245629
1563343200,7.21,7.21,7.21,7.21,477065
1563346800,7.2,7.22,7.06,7.12,13863066
1563350400,7.11,7.18,7.09,7.18,5189168
1563354000,7.17,7.26,7.16,7.25,6190118
1563357600,7.26,7.26,7.26,7.26,299296
1563361200,7.26,7.35,7.25,7.31,15069665
1563364800,7.31,7.38,7.29,7.36,5478967
1563368400,7.36,7.38,7.34,7.37,3095431
1563372000,7.37,7.41,7.33,7.39,5829142
1563375600,7.39,7.39,7.39,7.39,1311527
1563429600,7.35,7.35,7.35,7.35,25648
1563433200,7.36,7.49,7.33,7.45,12284741
1563436800,7.45,7.48,7.38,7.48,5122889
1563440400,7.47,7.49,7.45,7.46,1545559
1563444000,7.48,7.48,7.48,7.48,380045
1563447600,7.48,7.51,7.42,7.49,3591192
1563451200,7.48,7.59,7.47,7.57,5141847
1563454800,7.57,7.61,7.56,7.59,4720975
1563458400,7.59,7.6,7.53,7.57,4154730
1563462000,7.6,7.6,7.6,7.6,1484431
1563516000,7.69,7.69,7.69,7.69,264186
1563519600,7.69,7.82,7.67,7.67,11083794
1563523200,7.68,7.71,7.6,7.65,7648132
1563526800,7.65,7.69,7.63,7.66,2702562
1563530400,7.64,7.64,7.64,7.64,376796
1563534000,7.65,7.68,7.58,7.65,8040162
1563537600,7.65,7.67,7.6,7.65,4540422
1563541200,7.64,7.7,7.62,7.65,3571448
1563544800,7.65,7.65,7.5,7.54,8105434
1563548400,7.55,7.55,7.55,7.55,1302975
1563775200,7.53,7.53,7.53,7.53,66091
1563778800,7.53,7.58,7.46,7.5,7007314
1563782400,7.49,7.61,7.48,7.57,5518004
1563786000,7.57,7.59,7.52,7.55,1834896
1563789600,7.55,7.55,7.55,7.55,340527
1563793200,7.55,7.59,7.5,7.53,3471404
1563796800,7.52,7.54,7.49,7.5,2554070
1563800400,7.5,7.53,7.49,7.5,2617896
1563804000,7.5,7.54,7.45,7.52,4440064
1563807600,7.53,7.53,7.53,7.53,1276250
1563861600,7.53,7.53,7.53,7.53,15814
1563865200,7.53,7.7,7.52,7.69,10471817
1563868800,7.68,7.74,7.67,7.71,5238654
1563872400,7.71,7.76,7.69,7.75,3414492
1563876000,7.76,7.76,7.76,7.76,77369
1563879600,7.75,7.77,7.69,7.7,4937681
1563883200,7.71,7.74,7.69,7.72,1813274
1563886800,7.72,7.74,7.71,7.73,2283080
1563890400,7.74,7.77,7.7,7.71,4022487
1563894000,7.7,7.7,7.7,7.7,1238168
1563948000,7.72,7.72,7.72,7.72,123116
1563951600,7.71,7.72,7.54,7.56,10529998
1563955200,7.56,7.58,7.47,7.5,7568909
1563958800,7.49,7.54,7.47,7.54,2163882
1563962400,7.54,7.54,7.54,7.54,109628
1563966000,7.54,7.59,7.49,7.51,9458887
1563969600,7.51,7.54,7.48,7.5,5217931
1563973200,7.5,7.58,7.48,7.55,6625562
1563976800,7.56,7.66,7.55,7.64,14849319
1563980400,7.66,7.66,7.66,7.66,2279543
1564034400,7.66,7.66,7.66,7.66,159892
1564038000,7.67,7.73,7.64,7.69,8445092
1564041600,7.69,7.71,7.63,7.65,3736147
1564045200,7.64,7.69,7.64,7.67,2636347
1564048800,7.65,7.65,7.65,7.65,72801
1564052400,7.66,7.76,7.5,7.68,17710670
1564056000,7.68,7.77,7.67,7.7,9550219
1564059600,7.7,7.71,7.46,7.5,15077222
1564063200,7.5,7.56,7.49,7.5,7817100
1564066800,7.5,7.5,7.5,7.5,1672580
1564120800,7.53,7.53,7.53,7.53,312877
1564124400,7.54,7.57,7.4,7.47,15395231
1564128000,7.48,7.5,7.42,7.45,9403634
1564131600,7.45,7.51,7.4,7.5,11250941
1564135200,7.52,7.52,7.52,7.52,281262
1564138800,7.53,7.63,7.53,7.6,12498135
1564142400,7.6,7.66,7.59,7.6,10111004
1564146000,7.6,7.63,7.58,7.59,5329673
1564149600,7.59,7.6,7.53,7.57,8065846
1564153200,7.58,7.58,7.58,7.58,1947607
1564380000,7.6,7.6,7.6,7.6,166795
1564383600,7.6,7.64,7.55,7.62,7946676
1564387200,7.63,7.65,7.58,7.6,3241086
1564390800,7.61,7.61,7.56,7.6,3625057
1564394400,7.62,7.62,7.62,7.62,270186
1564398000,7.61,7.69,7.58,7.67,6650842
1564401600,7.67,7.72,7.66,7.69,5013373
1564405200,7.7,7.76,7.67,7.69,7569705
1564408800,7.7,7.72,7.66,7.7,4553725
1564412400,7.72,7.72,7.72,7.72,1427887
1564466400,7.75,7.75,7.75,7.75,123203
1564470000,7.75,7.75,7.65,7.67,8186001
1564473600,7.68,7.68,7.63,7.65,4006168
1564477200,7.64,7.67,7.64,7.65,993928
1564480800,7.64,7.64,7.64,7.64,362906
1564484400,7.65,7.65,7.49,7.54,9361469
1564488000,7.54,7.58,7.53,7.55,4963239
1564491600,7.55,7.58,7.53,7.57,3312764
1564495200,7.56,7.6,7.55,7.56,5585474
1564498800,7.56,7.58,7.56,7.58,1887358
1564552800,7.61,7.61,7.61,7.61,249367
1564556400,7.62,7.63,7.51,7.53,7782253
1564560000,7.53,7.61,7.51,7.61,7193206
1564563600,7.6,7.61,7.55,7.57,2383238
1564567200,7.57,7.57,7.57,7.57,327773
1564570800,7.57,7.59,7.54,7.56,3709442
1564574400,7.56,7.56,7.49,7.54,4549462
1564578000,7.54,7.58,7.53,7.55,2237196
1564581600,7.55,7.59,7.54,7.55,5326751
1564585200,7.55,7.55,7.55,7.55,4047968
1564639200,7.5,7.5,7.5,7.5,251861
1564642800,7.49,7.57,7.47,7.54,8092691
1564646400,7.54,7.58,7.47,7.51,7094855
1564650000,7.51,7.53,7.49,7.53,3938433
1564653600,7.52,7.52,7.52,7.52,266533
1564657200,7.52,7.56,7.51,7.51,3512213
1564660800,7.51,7.52,7.41,7.45,5416101
1564664400,7.45,7.48,7.41,7.41,5143977
1564668000,7.41,7.47,7.39,7.46,6236820
1564671600,7.46,7.46,7.46,7.46,2251065
1564725600,7.41,7.41,7.41,7.41,196106
1564729200,7.41,7.42,7.31,7.32,9593810
1564732800,7.33,7.35,7.31,7.34,3309828
1564736400,7.35,7.35,7.31,7.31,2089065
1564740000,7.3,7.3,7.3,7.3,365695
1564743600,7.31,7.34,7.28,7.31,2840003
1564747200,7.32,7.32,7.26,7.32,5526661
1564750800,7.32,7.33,7.28,7.3,4815982
1564754400,7.3,7.31,7.24,7.28,5786722
1564758000,7.27,7.27,7.27,7.27,1393736
1564984800,7.25,7.25,7.25,7.25,162865
1564988400,7.25,7.31,7.24,7.28,9079987
1564992000,7.28,7.28,7.22,7.26,5587314
1564995600,7.25,7.32,7.25,7.3,3531249
1564999200,7.31,7.31,7.31,7.31,44955
1565002800,7.3,7.34,7.26,7.33,3381568
1565006400,7.33,7.33,7.25,7.25,4047232
1565010000,7.25,7.26,7.2,7.24,3040638
1565013600,7.25,7.27,7.22,7.26,2895244
1565017200,7.26,7.26,7.26,7.26,2015171
1565071200,7.3,7.3,7.3,7.3,319787
1565074800,7.3,7.46,7.29,7.44,10339084
1565078400,7.44,7.44,7.38,7.39,3142953
