time,open,high,low,close,Volume
1563436800,4.485,4.6075,4.4775,4.595,25613600
1563440400,4.595,4.6,4.58,4.59,7886936
1563444000,4.5975,4.5975,4.5975,4.5975,666792
1563447600,4.5975,4.61,4.5375,4.57,13429548
1563451200,4.565,4.6,4.5625,4.5875,6593888
1563454800,4.5875,4.6,4.5675,4.5875,5955288
1563458400,4.5875,4.6025,4.5575,4.585,11550192
1563462000,4.5675,4.5675,4.5675,4.5675,2760204
1563516000,4.67,4.67,4.67,4.67,1085304
1563519600,4.6725,4.695,4.63,4.6325,19503676
1563523200,4.6325,4.6375,4.57,4.595,10297916
1563526800,4.595,4.625,4.5875,4.605,3931264
1563530400,4.605,4.605,4.5975,4.5975,617620
1563534000,4.5975,4.6225,4.59,4.615,4055936
1563537600,4.615,4.6175,4.59,4.6,4229428
1563541200,4.6,4.6,4.585,4.5925,4533724
1563544800,4.5925,4.6025,4.5275,4.56,10813924
1563548400,4.5625,4.5625,4.5475,4.5475,2246568
1563775200,4.5475,4.5475,4.5475,4.5475,108616
1563778800,4.5475,4.5925,4.515,4.5675,10988352
1563782400,4.5675,4.6,4.56,4.57,6577944
1563786000,4.5675,4.5825,4.5575,4.565,1981628
1563789600,4.5625,4.5625,4.5625,4.5625,421864
1563793200,4.5625,4.5725,4.515,4.5225,5200548
1563796800,4.52,4.5425,4.5175,4.525,3225004
1563800400,4.525,4.5475,4.5125,4.53,2611548
1563804000,4.53,4.53,4.5025,4.515,3864288
1563807600,4.5075,4.5075,4.5075,4.5075,1484684
1563861600,4.51,4.51,4.51,4.51,179636
1563865200,4.51,4.5525,4.5025,4.52,9810596
1563868800,4.5225,4.5675,4.51,4.5575,13278944
1563872400,4.555,4.56,4.5425,4.555,3112660
1563876000,4.555,4.555,4.555,4.555,105228
1563879600,4.5575,4.59,4.5525,4.5625,13612432
1563883200,4.5625,4.58,4.5625,4.57,3362440
1563886800,4.5675,4.5725,4.5575,4.5625,2286736
1563890400,4.565,4.585,4.5625,4.565,5419904
1563894000,4.5775,4.5775,4.5775,4.5775,1572320
1563948000,4.5825,4.5825,4.5825,4.5825,229404
1563951600,4.585,4.59,4.535,4.5475,6979916
1563955200,4.55,4.555,4.525,4.5275,3140428
1563958800,4.53,4.5375,4.52,4.535,2106484
1563962400,4.525,4.525,4.525,4.525,137852
1563966000,4.53,4.575,4.525,4.5575,6745600
1563969600,4.5575,4.5725,4.5375,4.565,5139800
1563973200,4.565,4.5825,4.5575,4.575,6105476
1563976800,4.5775,4.6525,4.5775,4.6225,19966916
1563980400,4.62,4.625,4.62,4.625,1282928
1564034400,4.64,4.64,4.64,4.64,288252
1564038000,4.6425,4.6475,4.605,4.6225,6628188
1564041600,4.6225,4.625,4.605,4.615,1652716
1564045200,4.615,4.6225,4.6075,4.6175,1406460
1564048800,4.6075,4.6075,4.6075,4.6075,122876
1564052400,4.6125,4.665,4.5725,4.6275,11239980
1564056000,4.6275,4.635,4.6,4.605,4098020
1564059600,4.605,4.605,4.5225,4.53,10203616
1564063200,4.5325,4.5575,4.5275,4.54,4764788
1564066800,4.545,4.545,4.545,4.545,1375628
1564120800,4.5625,4.5625,4.5625,4.5625,181492
1564124400,4.565,4.635,4.5525,4.63,17104964
1564128000,4.6325,4.71,4.62,4.705,21425048
1564131600,4.705,4.735,4.69,4.695,23165832
1564135200,4.6975,4.6975,4.6975,4.6975,649752
1564138800,4.6975,4.715,4.67,4.705,11791196
