time,open,high,low,close,Volume
1620024300,4.88,4.88,4.88,4.88,720554
1620025200,4.89,4.91,4.88,4.89,6153329
1620026100,4.89,4.92,4.89,4.92,5938453
1620027000,4.92,4.92,4.9,4.91,6382671
1620027900,4.91,4.92,4.9,4.9,1600831
1620028800,4.91,4.92,4.9,4.91,3204596
1620029700,4.91,4.93,4.91,4.93,5592483
1620030600,4.92,4.93,4.92,4.93,1050571
1620031500,4.92,4.93,4.92,4.93,1031858
1620032400,4.93,4.93,4.91,4.92,537610
1620033300,4.91,4.92,4.91,4.92,252767
1620034200,4.91,4.92,4.91,4.91,692927
1620035100,4.91,4.92,4.9,4.91,5660495
1620036000,4.9,4.91,4.88,4.89,13491746
1620036900,4.89,4.9,4.88,4.9,1480126
1620037800,4.89,4.9,4.89,4.89,293051
1620038700,4.89,4.9,4.89,4.9,325517
1620039600,4.9,4.92,4.89,4.91,5177001
1620040500,4.9,4.91,4.89,4.9,3072375
1620041400,4.9,4.91,4.9,4.91,369764
1620042300,4.91,4.92,4.9,4.91,1252780
1620043200,4.91,4.92,4.91,4.92,651598
1620044100,4.91,4.92,4.91,4.91,428060
1620045000,4.91,4.92,4.91,4.92,671043
1620045900,4.92,4.92,4.91,4.91,587174
1620046800,4.91,4.92,4.91,4.92,796609
1620047700,4.91,4.94,4.91,4.94,6286562
1620048600,4.94,4.94,4.92,4.93,4113565
1620049500,4.92,4.93,4.92,4.93,732740
1620050400,4.93,4.94,4.92,4.93,2501183
1620051300,4.93,4.95,4.93,4.94,3345738
1620052200,4.95,4.97,4.94,4.97,3967485
1620053100,4.96,5,4.96,5,7536147
1620054000,4.99,4.99,4.99,4.99,2068510
1620110700,5.01,5.01,5.01,5.01,1446270
1620111600,5.01,5.04,4.99,5.01,9911911
1620112500,5.01,5.01,4.97,4.98,6285307
1620113400,4.99,5,4.97,4.99,2895026
1620114300,4.99,4.99,4.97,4.97,2387053
1620115200,4.98,4.98,4.97,4.97,838983
1620116100,4.98,4.99,4.97,4.98,674694
1620117000,4.99,4.99,4.97,4.98,1646448
1620117900,4.98,4.99,4.96,4.96,1128650
1620118800,4.97,4.97,4.94,4.96,5995033
1620119700,4.95,4.96,4.95,4.96,2210098
1620120600,4.96,4.97,4.95,4.95,1497085
1620121500,4.96,4.97,4.95,4.96,549467
1620122400,4.96,4.97,4.95,4.97,890347
1620123300,4.97,4.97,4.95,4.95,468505
1620124200,4.95,4.96,4.95,4.95,163210
1620125100,4.96,4.96,4.95,4.96,754095
1620126000,4.96,4.96,4.95,4.96,94119
1620126900,4.95,4.97,4.95,4.96,1048252
1620127800,4.96,4.97,4.96,4.97,1467924
1620128700,4.97,4.97,4.96,4.96,378897
1620129600,4.96,4.97,4.95,4.96,1490126
1620130500,4.96,4.97,4.96,4.96,293639
1620131400,4.96,4.97,4.96,4.97,334751
1620132300,4.97,4.97,4.96,4.97,382843
1620133200,4.97,4.97,4.96,4.97,261429
1620134100,4.96,4.98,4.96,4.96,3023869
1620135000,4.97,4.98,4.96,4.96,3816549
1620135900,4.96,4.97,4.94,4.94,4755104
1620136800,4.94,4.95,4.92,4.94,3942914
1620137700,4.94,4.94,4.93,4.94,688751
1620138600,4.93,4.95,4.93,4.94,1814414
1620139500,4.93,4.95,4.93,4.94,2920884
1620140400,4.94,4.94,4.94,4.94,1770155
1620197100,4.96,4.96,4.96,4.96,300786
1620198000,4.95,4.97,4.94,4.96,6841550
1620198900,4.95,4.96,4.93,4.94,3300129
1620199800,4.95,4.95,4.93,4.93,1155753
1620200700,4.94,4.94,4.91,4.92,2025991
1620201600,4.93,4.93,4.91,4.92,2888586
1620202500,4.93,4.93,4.92,4.93,198736
1620203400,4.92,4.93,4.92,4.93,218583
1620204300,4.92,4.93,4.91,4.92,1232373
1620205200,4.92,4.93,4.91,4.93,1066552
1620206100,4.93,4.93,4.91,4.92,1776437
1620207000,4.91,4.93,4.91,4.92,789965
1620207900,4.92,4.93,4.91,4.92,580667
1620208800,4.93,4.93,4.92,4.93,176889
1620209700,4.93,4.93,4.92,4.92,465034
1620210600,4.91,4.93,4.91,4.93,710526
1620211500,4.93,4.93,4.92,4.92,319885
1620212400,4.93,4.93,4.91,4.92,1379782
1620213300,4.91,4.93,4.91,4.92,784305
1620214200,4.92,4.93,4.91,4.92,1520258
1620215100,4.92,4.93,4.92,4.93,249535
1620216000,4.93,4.94,4.92,4.92,1335167
1620216900,4.93,4.93,4.92,4.93,688771
