time,open,high,low,close,Volume
1622529900,7.495,7.495,7.495,7.495,369380
1622530800,7.495,7.525,7.475,7.51,3665012
1622531700,7.505,7.52,7.485,7.495,1625618
1622532600,7.5,7.53,7.495,7.525,1780332
1622533500,7.53,7.555,7.53,7.555,3248274
1622534400,7.555,7.56,7.54,7.545,2483074
1622535300,7.545,7.6,7.545,7.59,5478488
1622536200,7.595,7.61,7.565,7.585,4604174
1622537100,7.585,7.595,7.58,7.595,669388
1622538000,7.595,7.595,7.565,7.575,1007396
1622538900,7.575,7.58,7.565,7.575,471326
1622539800,7.575,7.585,7.57,7.57,513126
1622540700,7.57,7.575,7.55,7.56,639672
1622541600,7.555,7.57,7.555,7.56,353138
1622542500,7.56,7.565,7.56,7.56,249662
1622543400,7.56,7.565,7.54,7.545,1693726
1622544300,7.545,7.545,7.53,7.54,765916
1622545200,7.54,7.545,7.505,7.525,2604384
1622546100,7.52,7.525,7.515,7.525,472612
1622547000,7.52,7.545,7.495,7.51,3982470
1622547900,7.51,7.51,7.495,7.5,564722
1622548800,7.505,7.52,7.5,7.52,516984
1622549700,7.515,7.525,7.51,7.525,444438
1622550600,7.52,7.525,7.52,7.525,349066
1622551500,7.52,7.53,7.52,7.52,508878
1622552400,7.52,7.525,7.515,7.525,528786
1622553300,7.525,7.545,7.52,7.54,1079124
1622554200,7.54,7.54,7.515,7.515,926252
1622555100,7.515,7.525,7.51,7.525,1309956
1622556000,7.525,7.53,7.515,7.52,483668
1622556900,7.52,7.54,7.51,7.53,1031432
1622557800,7.53,7.54,7.53,7.535,821298
1622558700,7.53,7.535,7.515,7.525,1600290
1622559600,7.525,7.525,7.525,7.525,1518490
1622616300,7.47,7.47,7.47,7.47,268584
1622617200,7.47,7.515,7.465,7.5,3236086
1622618100,7.5,7.53,7.49,7.52,2551324
1622619000,7.515,7.52,7.49,7.495,1152484
1622619900,7.49,7.495,7.48,7.49,946266
1622620800,7.495,7.51,7.49,7.505,511160
1622621700,7.505,7.525,7.495,7.52,705470
1622622600,7.52,7.545,7.515,7.535,1751020
1622623500,7.54,7.555,7.53,7.53,774188
1622624400,7.53,7.545,7.515,7.52,976926
1622625300,7.52,7.535,7.52,7.535,376636
1622626200,7.535,7.54,7.515,7.52,624540
1622627100,7.515,7.525,7.51,7.525,568106
1622628000,7.525,7.53,7.52,7.525,321732
1622628900,7.525,7.525,7.51,7.515,260912
1622629800,7.515,7.52,7.51,7.51,259582
1622630700,7.51,7.525,7.51,7.525,200322
1622631600,7.52,7.525,7.515,7.52,202676
1622632500,7.515,7.52,7.505,7.51,415974
1622633400,7.51,7.535,7.505,7.53,804122
1622634300,7.53,7.545,7.53,7.54,595044
1622635200,7.535,7.545,7.535,7.535,692622
1622636100,7.535,7.54,7.53,7.54,316306
1622637000,7.54,7.54,7.525,7.53,353842
1622637900,7.53,7.545,7.53,7.54,521112
1622638800,7.54,7.55,7.535,7.535,770210
1622639700,7.53,7.54,7.525,7.54,217654
1622640600,7.54,7.54,7.525,7.525,177780
1622641500,7.53,7.535,7.525,7.53,307096
1622642400,7.53,7.54,7.53,7.535,365380
1622643300,7.535,7.54,7.515,7.52,905192
1622644200,7.52,7.525,7.51,7.515,776338
1622645100,7.515,7.525,7.5,7.525,2203990
1622646000,7.535,7.535,7.535,7.535,831690
