time,open,high,low,close,Volume
1620024300,12.33,12.33,12.33,12.33,649045
1620025200,12.34,12.47,12.3,12.45,10081459
1620026100,12.44,12.5,12.43,12.49,5827238
1620027000,12.5,12.63,12.49,12.63,8247417
1620027900,12.63,12.63,12.56,12.58,3038420
1620028800,12.57,12.59,12.53,12.59,3617726
1620029700,12.59,12.61,12.56,12.6,1897188
1620030600,12.59,12.61,12.56,12.6,1158197
1620031500,12.59,12.7,12.59,12.68,6103421
1620032400,12.67,12.69,12.64,12.66,1528295
1620033300,12.66,12.67,12.64,12.65,657307
1620034200,12.66,12.66,12.62,12.64,1071200
1620035100,12.63,12.7,12.61,12.69,2822943
1620036000,12.69,12.71,12.66,12.67,3004061
1620036900,12.67,12.69,12.66,12.68,786162
1620037800,12.68,12.68,12.66,12.68,481483
1620038700,12.68,12.68,12.65,12.65,517184
1620039600,12.65,12.67,12.64,12.66,772669
1620040500,12.66,12.66,12.63,12.66,890893
1620041400,12.66,12.66,12.64,12.64,295193
1620042300,12.65,12.67,12.64,12.67,680248
1620043200,12.67,12.67,12.62,12.64,836556
1620044100,12.64,12.66,12.64,12.66,314274
1620045000,12.66,12.66,12.64,12.66,741824
1620045900,12.66,12.66,12.63,12.64,1043339
1620046800,12.64,12.67,12.63,12.67,913108
1620047700,12.67,12.76,12.66,12.75,5436953
1620048600,12.75,12.84,12.74,12.82,6827937
1620049500,12.82,12.82,12.77,12.8,2290867
1620050400,12.8,12.85,12.79,12.83,3110740
1620051300,12.83,12.86,12.79,12.82,5149087
1620052200,12.82,12.89,12.8,12.87,4274270
1620053100,12.87,12.95,12.79,12.92,11679919
1620054000,12.92,12.92,12.92,12.92,2386350
1620110700,13.08,13.08,13.08,13.08,2208374
1620111600,13.07,13.09,12.71,12.72,23480483
1620112500,12.72,12.79,12.69,12.77,6489731
1620113400,12.77,12.82,12.74,12.77,6381783
1620114300,12.77,12.78,12.72,12.73,3861957
1620115200,12.72,12.77,12.72,12.75,1460903
1620116100,12.75,12.78,12.74,12.77,1012884
